Bin_mm_hr,RMSE,Bias,Samples
0.0-0.1,0.19635556742228436,0.0688331852933134,1160366
0.1-3.6,0.7928613682299128,-0.03258952280519661,82988
3.6-7.1,2.1699495622355305,-1.0220509531764024,7112
7.1-10.6,3.9929593421143266,-2.895219042863435,1574
10.6-14.1,5.006737869152828,-3.764328337404024,386
14.1-17.6,10.9196914290536,-10.218176835503222,140
17.6-21.1,11.263822672272166,-10.712971465015917,68
21.1-24.6,13.567449636931293,-13.279190388255646,40
24.6-28.1,15.627079927750183,-15.464968874179952,44
28.1-31.6,21.852505995296536,-21.601085776083654,38
